18:11:49,799 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
18:11:49,937 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
18:13:00,945 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
18:13:01,082 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
18:23:08,014 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
18:23:08,147 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
18:27:23,116 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
18:27:23,251 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
18:28:20,670 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
18:28:20,808 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
18:29:08,683 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
18:29:08,825 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
18:31:06,108 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
18:31:06,251 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
18:34:40,238 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
18:34:40,378 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
18:43:51,592 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
18:43:51,738 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
18:49:21,616 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
